split,mode,classifier,f1-score,accuracy,time,modality
4,groupshuffle,MLPClassifier,0.528301072366129,0.5441468253968254,0.109170125098899,eda
5,groupshuffle,RandomForestClassifier,0.608934878508915,0.6210876369327074,0.13455591595266014,eda
5,groupshuffle,KNeighborsClassifier,0.5454545454545454,0.545481220657277,0.02739962504711002,eda
5,groupshuffle,SVC,0.6043252633442507,0.60768779342723,0.035746959038078785,eda
5,groupshuffle,MLPClassifier,0.6003035963300863,0.6010367762128326,0.11239762499462813,eda
6,groupshuffle,RandomForestClassifier,0.6287798788363536,0.6723852831748657,0.13508425001055002,eda
6,groupshuffle,KNeighborsClassifier,0.554900900225458,0.5635593220338984,0.027311166981235147,eda
6,groupshuffle,SVC,0.6142222270260144,0.6578131459280695,0.0288425829494372,eda
6,groupshuffle,MLPClassifier,0.6178426823361195,0.6530591153369161,0.126621084054932,eda
7,groupshuffle,RandomForestClassifier,0.5417582417582417,0.5990276897061932,0.1516920829890296,eda
7,groupshuffle,KNeighborsClassifier,0.5428571428571428,0.5622489959839357,0.02788562490604818,eda
7,groupshuffle,SVC,0.5944307944307944,0.632424434580427,0.03161454200744629,eda
7,groupshuffle,MLPClassifier,0.5427378451764948,0.582012259564574,0.1370025830110535,eda
8,groupshuffle,RandomForestClassifier,0.6695001011940903,0.676056338028169,0.12825466692447662,eda
8,groupshuffle,KNeighborsClassifier,0.6403992253835841,0.6408450704225352,0.02497387502808124,eda
8,groupshuffle,SVC,0.6586538461538461,0.6619718309859155,0.03483237500768155,eda
8,groupshuffle,MLPClassifier,0.6070440251572328,0.6126760563380282,0.11380216607358307,eda
9,groupshuffle,RandomForestClassifier,0.6893140451906843,0.6785787216663264,0.1345394579693675,eda
9,groupshuffle,KNeighborsClassifier,0.6501512591724752,0.6473351031243618,0.030634624999947846,eda
9,groupshuffle,SVC,0.7062990926327194,0.7077802736369205,0.04055912501644343,eda
9,groupshuffle,MLPClassifier,0.7329926714760105,0.7269756994078007,0.10229883308056742,eda
0,random,RandomForestClassifier,0.7611834101382489,0.7659726474790773,0.4274463749025017,resp
0,random,KNeighborsClassifier,0.6694065934065935,0.6725862420902224,0.2528047920204699,resp
0,random,SVC,0.7763492798694281,0.7800571545213308,0.28267787501681596,resp
0,random,MLPClassifier,0.7625552793117863,0.7655644008981425,0.3628517499892041,resp
1,random,RandomForestClassifier,0.6574883301153303,0.6707217337967696,0.3717161249369383,resp
1,random,KNeighborsClassifier,0.521974006994102,0.5431404620731957,0.2109460000647232,resp
1,random,SVC,0.6429133654393868,0.6564097321611122,0.3300313340732828,resp
1,random,MLPClassifier,0.6413586984770518,0.6570231036597833,0.31522420898545533,resp
2,random,RandomForestClassifier,0.6900455432661027,0.6811414392059554,0.3838987910421565,resp
2,random,KNeighborsClassifier,0.5869890109890109,0.5851943755169562,0.2517844170797616,resp
2,random,SVC,0.7224751718869366,0.7133995037220844,0.2636915419716388,resp
2,random,MLPClassifier,0.7170442932087785,0.7086435070306039,0.27470912504941225,resp
3,random,RandomForestClassifier,0.6608861726508785,0.6594871794871795,0.4612274169921875,resp
3,random,KNeighborsClassifier,0.6,0.597948717948718,0.22625183302443475,resp
3,random,SVC,0.6772959183673469,0.6748717948717948,0.3674990830477327,resp
3,random,MLPClassifier,0.6668908618061161,0.6635897435897435,0.3188749159453437,resp
4,random,RandomForestClassifier,0.714455110107284,0.7150889388673073,0.4275412500137463,resp
4,random,KNeighborsClassifier,0.6254992319508448,0.6248210999795543,0.23211745906155556,resp
4,random,SVC,0.7302958118909039,0.7300143120016356,0.2460807920433581,resp
4,random,MLPClassifier,0.7181207028265851,0.7207115109384583,0.3599796670023352,resp
5,random,RandomForestClassifier,0.748258064516129,0.7467797996319772,0.4234085000352934,resp
5,random,KNeighborsClassifier,0.6073233336007059,0.60734001226743,0.31888112507294863,resp
5,random,SVC,0.7255298965404796,0.7243917399304846,0.46822179201990366,resp
5,random,MLPClassifier,0.7338728110599078,0.7324677979963198,0.5168154159327969,resp
6,random,RandomForestClassifier,0.6567229463738955,0.6615384615384615,0.5296597080305219,resp
6,random,KNeighborsClassifier,0.5505747126436782,0.5502564102564103,0.5774446250870824,resp
6,random,SVC,0.6493032514930325,0.6548717948717948,0.46121591702103615,resp
6,random,MLPClassifier,0.6561624649859944,0.6625641025641026,0.6194640829926357,resp
7,random,RandomForestClassifier,0.7285714285714285,0.7382133995037221,0.6189879999728873,resp
7,random,KNeighborsClassifier,0.657632753039979,0.6641852770885028,0.36485304101370275,resp
7,random,SVC,0.7359165555093918,0.7446236559139785,0.4043186670169234,resp
7,random,MLPClassifier,0.7216417747261157,0.7301488833746899,0.46159700001589954,resp
8,random,RandomForestClassifier,0.7138774677047793,0.7208059210526316,0.5495060839457437,resp
8,random,KNeighborsClassifier,0.6219503124612614,0.6241776315789473,0.36853195796720684,resp
8,random,SVC,0.7138774677047793,0.7208059210526316,0.36048091703560203,resp
8,random,MLPClassifier,0.6860350508850204,0.6895559210526316,0.47493320901412517,resp
9,random,RandomForestClassifier,0.7696984260483,0.7619838140693089,0.47897524992004037,resp
9,random,KNeighborsClassifier,0.6656078972942561,0.6689147125959742,0.3641119999811053,resp
9,random,SVC,0.7553045776763186,0.747457978833783,0.29354045900981873,resp
9,random,MLPClassifier,0.7757201147641506,0.7664453206059348,1.2446756669087335,resp
0,groupshuffle,RandomForestClassifier,0.7241155362543213,0.7118226600985222,2.039916916983202,resp
0,groupshuffle,KNeighborsClassifier,0.6354402839803046,0.6264367816091954,0.39787620794959366,resp
0,groupshuffle,SVC,0.7257035225324001,0.7171592775041051,0.4936897500883788,resp
